pisode: 0, steps: 0, FPS: 1.0
Episode: 349, steps: 34103, FPS: 8.112430038201266
Episode: 350, steps: 34203, FPS: 8.845360153562867
Episode: 351, steps: 34303, FPS: 8.733506628491346
Episode: 352, steps: 34403, FPS: 8.420796452753539
Episode: 353, steps: 34503, FPS: 8.727340630099086
Episode: 354, steps: 34603, FPS: 8.73757353747097
Episode: 355, steps: 34703, FPS: 8.351962894526894
Episode: 356, steps: 34803, FPS: 8.936417846243003
Episode: 357, steps: 34903, FPS: 8.529182781606984
Episode: 358, steps: 35003, FPS: 9.093105241639794
Episode: 359, steps: 35103, FPS: 8.921396633535874
Episode: 360, steps: 35203, FPS: 8.744854677702156
Episode: 361, steps: 35303, FPS: 8.65116114745855
Episode: 362, steps: 35403, FPS: 9.096091944703623
Episode: 363, steps: 35503, FPS: 8.947325418946331
Episode: 364, steps: 35603, FPS: 8.753336296813696
Episode: 365, steps: 35703, FPS: 8.719035982779138
Episode: 366, steps: 35803, FPS: 8.74922344327171
Episode: 367, steps: 35903, FPS: 8.478690646271922
Episode: 368, steps: 35966, FPS: 7.831284826234956
Episode: 369, steps: 36066, FPS: 7.76282386413842
Episode: 370, steps: 36166, FPS: 7.882020256838775
Episode: 371, steps: 36266, FPS: 8.819374911832213
Episode: 372, steps: 36366, FPS: 8.901794701828807
Episode: 373, steps: 36466, FPS: 8.70587079124414
Episode: 374, steps: 36566, FPS: 7.931114016520393
Episode: 375, steps: 36666, FPS: 7.740731320869083
Episode: 376, steps: 36766, FPS: 8.296367507491167
Episode: 377, steps: 36866, FPS: 8.279975217032252
Episode: 378, steps: 36966, FPS: 8.586889306289534
Episode: 379, steps: 37066, FPS: 8.053751971186283
Episode: 380, steps: 37166, FPS: 8.58961380785465
Episode: 381, steps: 37266, FPS: 8.162223007097811
Episode: 382, steps: 37366, FPS: 7.786935115709571
Episode: 383, steps: 37466, FPS: 7.588741837226502
Episode: 384, steps: 37566, FPS: 8.524973818828709
Episode: 385, steps: 37666, FPS: 8.58182515943923
Episode: 386, steps: 37766, FPS: 7.933725566636487
Episode: 387, steps: 37866, FPS: 7.623738815861613
Episode: 388, steps: 37966, FPS: 8.327413548069
Episode: 389, steps: 38066, FPS: 8.718877526858021
Episode: 390, steps: 38166, FPS: 7.751047364151696
Episode: 391, steps: 38266, FPS: 8.278071808710466
Episode: 392, steps: 38366, FPS: 7.783726734656507
Episode: 393, steps: 38466, FPS: 8.1900324726677
Episode: 394, steps: 38566, FPS: 8.646365045184726
Episode: 395, steps: 38666, FPS: 7.622525884712492
Episode: 396, steps: 38766, FPS: 7.801227619898991
Episode: 397, steps: 38866, FPS: 8.622856169193044
Episode: 398, steps: 38966, FPS: 8.49201092903777
Episode: 399, steps: 39066, FPS: 6.804695692270026
Episode: 400, steps: 39166, FPS: 7.822853214141867
Episode: 401, steps: 39266, FPS: 8.347107010390577
Episode: 402, steps: 39366, FPS: 8.557365517763245
Episode: 403, steps: 39466, FPS: 7.778674150161926
Episode: 404, steps: 39566, FPS: 8.469156893417718
Episode: 405, steps: 39666, FPS: 8.699861479830785
Episode: 406, steps: 39766, FPS: 7.84256063111233
Episode: 407, steps: 39866, FPS: 7.670073258869522
Episode: 408, steps: 39966, FPS: 8.625847150920146
Episode: 409, steps: 40066, FPS: 8.548158963884722
Episode: 410, steps: 40166, FPS: 7.451122650375105
Episode: 411, steps: 40266, FPS: 7.778508181251954
Episode: 412, steps: 40366, FPS: 8.420516923596058
Episode: 413, steps: 40466, FPS: 8.2636569254575
Episode: 414, steps: 40566, FPS: 8.609914514794571
Episode: 415, steps: 40666, FPS: 8.279872128389796
Episode: 416, steps: 40766, FPS: 8.190745380295535
Episode: 417, steps: 40866, FPS: 8.501851142030453
Episode: 418, steps: 40966, FPS: 8.78627078819121
Episode: 419, steps: 41066, FPS: 8.39286392989142
